id,user_id,schedule,drinking,smoking,workout_freq,diet,pet_view,spending_view,saving_view,travel_pref,interests,personality,created_at,updated_at
1,1,late,occasionally,occasionally,daily,normal,reject,luxury,conservative,"[""desert""]","[""running"", ""yoga"", ""music"", ""coding"", ""photography""]",ESFJ,2025-09-02 11:18:51,2025-09-02 11:18:51
2,2,normal,often,often,weekly,low_carb,ok,luxury,conservative,"[""island"", ""roadtrip""]","[""football"", ""boardgame"", ""gaming"", ""hiking"", ""yoga""]",ENFP,2025-08-05 11:18:51,2025-08-05 11:18:51
3,3,normal,often,never,3+weekly,normal,allergic,frugal,balanced,"[""museum"", ""desert"", ""mountain""]","[""coding"", ""movie""]",INTJ,2025-08-13 11:18:51,2025-08-13 11:18:51
4,4,early,never,occasionally,3+weekly,halal,reject,balanced,aggressive,"[""roadtrip"", ""citywalk""]","[""boardgame"", ""basketball"", ""photography"", ""coding""]",ISFJ,2025-07-14 11:18:51,2025-07-14 11:18:51
5,5,early,never,often,3+weekly,keto,love,balanced,aggressive,"[""mountain"", ""citywalk""]","[""gaming"", ""photography"", ""boardgame"", ""coding"", ""music""]",ISFJ,2025-07-03 11:18:51,2025-07-03 11:18:51
6,6,early,never,never,daily,vegetarian,love,luxury,aggressive,"[""museum""]","[""hiking"", ""boardgame""]",ISTP,2025-07-31 11:18:51,2025-07-31 11:18:51
7,7,early,occasionally,often,3+weekly,halal,reject,frugal,balanced,"[""museum""]","[""reading"", ""travel"", ""gaming""]",ENTP,2025-08-13 11:18:51,2025-08-13 11:18:51
8,8,late,never,occasionally,daily,halal,reject,balanced,aggressive,"[""citywalk"", ""roadtrip"", ""mountain""]","[""cooking"", ""gaming"", ""coding""]",INTJ,2025-08-02 11:18:51,2025-08-02 11:18:51
9,9,normal,occasionally,often,none,normal,ok,luxury,aggressive,"[""desert""]","[""music"", ""football"", ""coding""]",ESFJ,2025-08-17 11:18:51,2025-08-17 11:18:51
10,10,late,never,often,3+weekly,normal,ok,balanced,balanced,"[""roadtrip""]","[""coding"", ""yoga""]",ENTP,2025-06-26 11:18:51,2025-06-26 11:18:51
11,11,normal,often,often,weekly,vegan,ok,balanced,balanced,"[""mountain""]","[""reading"", ""boardgame""]",ENTP,2025-06-21 11:18:51,2025-06-21 11:18:51
12,12,normal,occasionally,often,daily,halal,love,luxury,balanced,"[""mountain""]","[""reading"", ""movie"", ""football"", ""travel"", ""coding""]",,2025-06-12 11:18:51,2025-06-12 11:18:51
13,13,early,occasionally,often,weekly,low_carb,love,balanced,balanced,"[""mountain"", ""roadtrip"", ""museum""]","[""basketball"", ""football""]",ENTP,2025-08-02 11:18:51,2025-08-02 11:18:51
14,14,early,never,often,weekly,halal,reject,luxury,aggressive,"[""sea"", ""museum""]","[""reading"", ""running""]",INTJ,2025-07-24 11:18:51,2025-07-24 11:18:51
15,15,normal,occasionally,occasionally,daily,low_carb,ok,luxury,conservative,"[""mountain"", ""desert""]","[""cooking"", ""music"", ""football""]",INTJ,2025-08-12 11:18:51,2025-08-12 11:18:51
16,16,normal,often,occasionally,none,low_carb,allergic,frugal,aggressive,"[""island"", ""museum""]","[""yoga"", ""music""]",ENFP,2025-07-26 11:18:51,2025-07-26 11:18:51
17,17,late,often,often,weekly,normal,reject,frugal,aggressive,"[""sea""]","[""football"", ""photography"", ""hiking""]",ESFJ,2025-08-09 11:18:51,2025-08-09 11:18:51
18,18,early,occasionally,often,3+weekly,low_carb,allergic,balanced,balanced,"[""mountain""]","[""movie"", ""boardgame""]",ISTP,2025-08-12 11:18:51,2025-08-12 11:18:51
19,19,late,never,often,3+weekly,halal,reject,luxury,balanced,"[""museum"", ""mountain"", ""desert""]","[""cooking"", ""photography"", ""running"", ""gaming"", ""reading""]",,2025-07-08 11:18:51,2025-07-08 11:18:51
20,20,early,often,never,none,keto,ok,balanced,aggressive,"[""roadtrip""]","[""hiking"", ""reading"", ""gaming"", ""coding"", ""movie"", ""running""]",ISTP,2025-08-07 11:18:51,2025-08-07 11:18:51
21,21,late,occasionally,often,weekly,vegan,allergic,balanced,conservative,"[""citywalk"", ""sea""]","[""football"", ""music"", ""reading"", ""travel"", ""yoga"", ""basketball""]",ENFP,2025-08-02 11:18:51,2025-08-02 11:18:51
22,22,normal,never,occasionally,daily,vegetarian,ok,balanced,balanced,"[""museum""]","[""running"", ""hiking"", ""travel"", ""cooking"", ""boardgame"", ""coding""]",ENFP,2025-06-12 11:18:51,2025-06-12 11:18:51
23,23,late,never,occasionally,weekly,vegetarian,allergic,balanced,aggressive,"[""desert"", ""mountain"", ""museum""]","[""hiking"", ""football"", ""gaming"", ""music"", ""running"", ""movie""]",ENTP,2025-07-07 11:18:51,2025-07-07 11:18:51
24,24,normal,occasionally,occasionally,3+weekly,normal,reject,balanced,conservative,"[""roadtrip"", ""sea""]","[""movie"", ""football""]",ENFP,2025-08-13 11:18:51,2025-08-13 11:18:51
25,25,late,occasionally,often,daily,vegan,ok,luxury,conservative,"[""museum""]","[""cooking"", ""coding"", ""movie"", ""hiking"", ""running"", ""music""]",,2025-06-13 11:18:51,2025-06-13 11:18:51
26,26,normal,occasionally,often,daily,halal,ok,frugal,conservative,"[""citywalk""]","[""photography"", ""reading""]",INTJ,2025-08-23 11:18:51,2025-08-23 11:18:51
27,27,early,never,occasionally,weekly,low_carb,reject,frugal,balanced,"[""sea"", ""mountain"", ""museum""]","[""running"", ""boardgame"", ""football"", ""music""]",,2025-07-23 11:18:51,2025-07-23 11:18:51
28,28,late,occasionally,occasionally,weekly,vegetarian,allergic,frugal,conservative,"[""sea"", ""island""]","[""running"", ""football"", ""photography"", ""boardgame""]",ISTP,2025-08-06 11:18:51,2025-08-06 11:18:51
29,29,normal,never,occasionally,daily,low_carb,reject,frugal,conservative,"[""island""]","[""photography"", ""football""]",INTJ,2025-09-02 11:18:51,2025-09-02 11:18:51
30,30,early,never,often,none,halal,allergic,luxury,aggressive,"[""island""]","[""reading"", ""boardgame"", ""basketball"", ""music""]",ESFJ,2025-08-27 11:18:51,2025-08-27 11:18:51
31,31,normal,occasionally,never,weekly,low_carb,ok,luxury,balanced,"[""museum"", ""island"", ""desert""]","[""gaming"", ""boardgame"", ""music"", ""yoga"", ""basketball""]",,2025-07-16 11:18:51,2025-07-16 11:18:51
32,32,late,occasionally,occasionally,weekly,keto,reject,frugal,conservative,"[""citywalk"", ""desert"", ""island""]","[""cooking"", ""football""]",ENTP,2025-06-20 11:18:51,2025-06-20 11:18:51
33,33,late,never,often,3+weekly,vegan,reject,luxury,conservative,"[""citywalk""]","[""basketball"", ""running"", ""travel"", ""music"", ""gaming""]",ENTP,2025-09-05 11:18:51,2025-09-05 11:18:51
34,34,early,never,never,weekly,vegetarian,love,balanced,aggressive,"[""mountain"", ""sea""]","[""running"", ""reading"", ""yoga""]",INTJ,2025-08-09 11:18:51,2025-08-09 11:18:51
35,35,late,never,occasionally,3+weekly,normal,ok,balanced,aggressive,"[""desert"", ""mountain"", ""museum""]","[""music"", ""photography"", ""running"", ""basketball"", ""yoga"", ""movie""]",ISFJ,2025-08-26 11:18:51,2025-08-26 11:18:51
36,36,late,occasionally,never,none,halal,allergic,luxury,balanced,"[""citywalk""]","[""movie"", ""gaming"", ""running""]",ENFP,2025-06-27 11:18:51,2025-06-27 11:18:51
37,37,early,never,occasionally,daily,halal,love,frugal,conservative,"[""roadtrip""]","[""boardgame"", ""travel"", ""gaming""]",ISTP,2025-06-25 11:18:51,2025-06-25 11:18:51
38,38,late,never,often,daily,vegetarian,reject,luxury,conservative,"[""museum""]","[""reading"", ""travel"", ""movie"", ""cooking"", ""boardgame""]",ENTP,2025-07-26 11:18:51,2025-07-26 11:18:51
39,39,late,occasionally,occasionally,3+weekly,low_carb,ok,balanced,balanced,"[""citywalk""]","[""boardgame"", ""football"", ""photography"", ""movie"", ""hiking""]",ENFP,2025-06-25 11:18:51,2025-06-25 11:18:51
40,40,early,often,often,daily,vegan,ok,frugal,conservative,"[""sea""]","[""travel"", ""yoga"", ""hiking"", ""gaming""]",,2025-08-15 11:18:51,2025-08-15 11:18:51
