id,user_id,tagline,bio,visibility_scope,completion_score,created_at,updated_at
1,1,有趣的灵魂在路上,热爱运动与电影，期待遇见志同道合的你。,matchmaker_only,92,2025-09-01 11:04:02,2025-09-01 11:04:02
2,2,爱阅读、爱旅行,热爱运动与电影，期待遇见志同道合的你。,matched,61,2025-08-04 11:04:02,2025-08-04 11:04:02
3,3,认真找对象,外向开朗，周末citywalk，向往稳定的亲密关系。,matchmaker_only,76,2025-08-12 11:04:02,2025-08-12 11:04:02
4,4,享受生活，热爱运动,程序员一枚，喜欢做饭和摄影，认真对待感情。,public,94,2025-07-13 11:04:02,2025-07-13 11:04:02
5,5,慢热但真诚,猫派，咖啡控，喜欢书店和博物馆。,matchmaker_only,75,2025-07-02 11:04:02,2025-07-02 11:04:02
6,6,爱阅读、爱旅行,热爱运动与电影，期待遇见志同道合的你。,matched,94,2025-07-30 11:04:02,2025-07-30 11:04:02
7,7,爱阅读、爱旅行,热爱运动与电影，期待遇见志同道合的你。,public,74,2025-08-12 11:04:02,2025-08-12 11:04:02
8,8,认真找对象,猫派，咖啡控，喜欢书店和博物馆。,matchmaker_only,74,2025-08-01 11:04:02,2025-08-01 11:04:02
9,9,享受生活，热爱运动,外向开朗，周末citywalk，向往稳定的亲密关系。,public,84,2025-08-16 11:04:02,2025-08-16 11:04:02
10,10,认真找对象,程序员一枚，喜欢做饭和摄影，认真对待感情。,matchmaker_only,94,2025-06-25 11:04:02,2025-06-25 11:04:02
11,11,有趣的灵魂在路上,程序员一枚，喜欢做饭和摄影，认真对待感情。,matched,60,2025-06-20 11:04:02,2025-06-20 11:04:02
12,12,有趣的灵魂在路上,猫派，咖啡控，喜欢书店和博物馆。,matchmaker_only,63,2025-06-11 11:04:02,2025-06-11 11:04:02
13,13,爱阅读、爱旅行,热爱运动与电影，期待遇见志同道合的你。,matchmaker_only,98,2025-08-01 11:04:02,2025-08-01 11:04:02
14,14,慢热但真诚,热爱运动与电影，期待遇见志同道合的你。,matchmaker_only,92,2025-07-23 11:04:02,2025-07-23 11:04:02
15,15,认真找对象,程序员一枚，喜欢做饭和摄影，认真对待感情。,matchmaker_only,75,2025-08-11 11:04:02,2025-08-11 11:04:02
16,16,爱阅读、爱旅行,程序员一枚，喜欢做饭和摄影，认真对待感情。,matchmaker_only,100,2025-07-25 11:04:02,2025-07-25 11:04:02
17,17,慢热但真诚,外向开朗，周末citywalk，向往稳定的亲密关系。,matched,76,2025-08-08 11:04:02,2025-08-08 11:04:02
18,18,慢热但真诚,猫派，咖啡控，喜欢书店和博物馆。,matched,88,2025-08-11 11:04:02,2025-08-11 11:04:02
19,19,慢热但真诚,热爱运动与电影，期待遇见志同道合的你。,public,93,2025-07-07 11:04:02,2025-07-07 11:04:02
20,20,享受生活，热爱运动,外向开朗，周末citywalk，向往稳定的亲密关系。,public,70,2025-08-06 11:04:02,2025-08-06 11:04:02
21,21,认真找对象,热爱运动与电影，期待遇见志同道合的你。,matched,76,2025-08-01 11:04:02,2025-08-01 11:04:02
22,22,认真找对象,程序员一枚，喜欢做饭和摄影，认真对待感情。,public,74,2025-06-11 11:04:02,2025-06-11 11:04:02
23,23,享受生活，热爱运动,程序员一枚，喜欢做饭和摄影，认真对待感情。,matchmaker_only,95,2025-07-06 11:04:02,2025-07-06 11:04:02
24,24,慢热但真诚,程序员一枚，喜欢做饭和摄影，认真对待感情。,matched,80,2025-08-12 11:04:02,2025-08-12 11:04:02
25,25,爱阅读、爱旅行,外向开朗，周末citywalk，向往稳定的亲密关系。,matched,98,2025-06-12 11:04:02,2025-06-12 11:04:02
26,26,认真找对象,程序员一枚，喜欢做饭和摄影，认真对待感情。,matchmaker_only,82,2025-08-22 11:04:02,2025-08-22 11:04:02
27,27,爱阅读、爱旅行,程序员一枚，喜欢做饭和摄影，认真对待感情。,matched,95,2025-07-22 11:04:02,2025-07-22 11:04:02
28,28,慢热但真诚,程序员一枚，喜欢做饭和摄影，认真对待感情。,matchmaker_only,84,2025-08-05 11:04:02,2025-08-05 11:04:02
29,29,有趣的灵魂在路上,热爱运动与电影，期待遇见志同道合的你。,matched,82,2025-09-01 11:04:02,2025-09-01 11:04:02
30,30,认真找对象,猫派，咖啡控，喜欢书店和博物馆。,public,71,2025-08-26 11:04:02,2025-08-26 11:04:02
31,31,有趣的灵魂在路上,热爱运动与电影，期待遇见志同道合的你。,public,70,2025-07-15 11:04:02,2025-07-15 11:04:02
32,32,享受生活，热爱运动,热爱运动与电影，期待遇见志同道合的你。,matched,99,2025-06-19 11:04:02,2025-06-19 11:04:02
