id,user_id,tagline,bio,visibility_scope,completion_score,created_at,updated_at
1,1,有趣的灵魂在路上,热爱运动与电影，期待遇见志同道合的你。,matchmaker_only,92,2025-09-02 11:18:51,2025-09-02 11:18:51
2,2,爱阅读、爱旅行,热爱运动与电影，期待遇见志同道合的你。,matched,61,2025-08-05 11:18:51,2025-08-05 11:18:51
3,3,认真找对象,外向开朗，周末citywalk，向往稳定的亲密关系。,matchmaker_only,76,2025-08-13 11:18:51,2025-08-13 11:18:51
4,4,享受生活，热爱运动,程序员一枚，喜欢做饭和摄影，认真对待感情。,public,94,2025-07-14 11:18:51,2025-07-14 11:18:51
5,5,慢热但真诚,猫派，咖啡控，喜欢书店和博物馆。,matchmaker_only,75,2025-07-03 11:18:51,2025-07-03 11:18:51
6,6,爱阅读、爱旅行,热爱运动与电影，期待遇见志同道合的你。,matched,94,2025-07-31 11:18:51,2025-07-31 11:18:51
7,7,爱阅读、爱旅行,热爱运动与电影，期待遇见志同道合的你。,public,74,2025-08-13 11:18:51,2025-08-13 11:18:51
8,8,认真找对象,猫派，咖啡控，喜欢书店和博物馆。,matchmaker_only,74,2025-08-02 11:18:51,2025-08-02 11:18:51
9,9,享受生活，热爱运动,外向开朗，周末citywalk，向往稳定的亲密关系。,public,84,2025-08-17 11:18:51,2025-08-17 11:18:51
10,10,认真找对象,程序员一枚，喜欢做饭和摄影，认真对待感情。,matchmaker_only,94,2025-06-26 11:18:51,2025-06-26 11:18:51
11,11,有趣的灵魂在路上,程序员一枚，喜欢做饭和摄影，认真对待感情。,matched,60,2025-06-21 11:18:51,2025-06-21 11:18:51
12,12,有趣的灵魂在路上,猫派，咖啡控，喜欢书店和博物馆。,matchmaker_only,63,2025-06-12 11:18:51,2025-06-12 11:18:51
13,13,爱阅读、爱旅行,热爱运动与电影，期待遇见志同道合的你。,matchmaker_only,98,2025-08-02 11:18:51,2025-08-02 11:18:51
14,14,慢热但真诚,热爱运动与电影，期待遇见志同道合的你。,matchmaker_only,92,2025-07-24 11:18:51,2025-07-24 11:18:51
15,15,认真找对象,程序员一枚，喜欢做饭和摄影，认真对待感情。,matchmaker_only,75,2025-08-12 11:18:51,2025-08-12 11:18:51
16,16,爱阅读、爱旅行,程序员一枚，喜欢做饭和摄影，认真对待感情。,matchmaker_only,100,2025-07-26 11:18:51,2025-07-26 11:18:51
17,17,慢热但真诚,外向开朗，周末citywalk，向往稳定的亲密关系。,matched,76,2025-08-09 11:18:51,2025-08-09 11:18:51
18,18,慢热但真诚,猫派，咖啡控，喜欢书店和博物馆。,matched,88,2025-08-12 11:18:51,2025-08-12 11:18:51
19,19,慢热但真诚,热爱运动与电影，期待遇见志同道合的你。,public,93,2025-07-08 11:18:51,2025-07-08 11:18:51
20,20,享受生活，热爱运动,外向开朗，周末citywalk，向往稳定的亲密关系。,public,70,2025-08-07 11:18:51,2025-08-07 11:18:51
21,21,认真找对象,热爱运动与电影，期待遇见志同道合的你。,matched,76,2025-08-02 11:18:51,2025-08-02 11:18:51
22,22,认真找对象,程序员一枚，喜欢做饭和摄影，认真对待感情。,public,74,2025-06-12 11:18:51,2025-06-12 11:18:51
23,23,享受生活，热爱运动,程序员一枚，喜欢做饭和摄影，认真对待感情。,matchmaker_only,95,2025-07-07 11:18:51,2025-07-07 11:18:51
24,24,慢热但真诚,程序员一枚，喜欢做饭和摄影，认真对待感情。,matched,80,2025-08-13 11:18:51,2025-08-13 11:18:51
25,25,爱阅读、爱旅行,外向开朗，周末citywalk，向往稳定的亲密关系。,matched,98,2025-06-13 11:18:51,2025-06-13 11:18:51
26,26,认真找对象,程序员一枚，喜欢做饭和摄影，认真对待感情。,matchmaker_only,82,2025-08-23 11:18:51,2025-08-23 11:18:51
27,27,爱阅读、爱旅行,程序员一枚，喜欢做饭和摄影，认真对待感情。,matched,95,2025-07-23 11:18:51,2025-07-23 11:18:51
28,28,慢热但真诚,程序员一枚，喜欢做饭和摄影，认真对待感情。,matchmaker_only,84,2025-08-06 11:18:51,2025-08-06 11:18:51
29,29,有趣的灵魂在路上,热爱运动与电影，期待遇见志同道合的你。,matched,82,2025-09-02 11:18:51,2025-09-02 11:18:51
30,30,认真找对象,猫派，咖啡控，喜欢书店和博物馆。,public,71,2025-08-27 11:18:51,2025-08-27 11:18:51
31,31,有趣的灵魂在路上,热爱运动与电影，期待遇见志同道合的你。,public,70,2025-07-16 11:18:51,2025-07-16 11:18:51
32,32,享受生活，热爱运动,热爱运动与电影，期待遇见志同道合的你。,matched,99,2025-06-20 11:18:51,2025-06-20 11:18:51
33,33,认真找对象,猫派，咖啡控，喜欢书店和博物馆。,public,77,2025-09-05 11:18:51,2025-09-05 11:18:51
34,34,认真找对象,猫派，咖啡控，喜欢书店和博物馆。,matchmaker_only,65,2025-08-09 11:18:51,2025-08-09 11:18:51
35,35,享受生活，热爱运动,外向开朗，周末citywalk，向往稳定的亲密关系。,matchmaker_only,76,2025-08-26 11:18:51,2025-08-26 11:18:51
36,36,慢热但真诚,热爱运动与电影，期待遇见志同道合的你。,matched,62,2025-06-27 11:18:51,2025-06-27 11:18:51
37,37,有趣的灵魂在路上,热爱运动与电影，期待遇见志同道合的你。,matchmaker_only,98,2025-06-25 11:18:51,2025-06-25 11:18:51
