id,user_id,tagline,bio,visibility_scope,completion_score,created_at,updated_at
1,1,有趣的灵魂在路上,热爱运动与电影，期待遇见志同道合的你。,matchmaker_only,0,2025-09-06 09:27:13,2025-09-06 09:27:13
2,2,爱阅读、爱旅行,热爱运动与电影，期待遇见志同道合的你。,matched,0,2025-08-09 09:27:13,2025-08-09 09:27:13
3,3,爱阅读、爱旅行,外向开朗，周末citywalk，向往稳定的亲密关系。,matched,0,2025-08-29 09:27:13,2025-08-29 09:27:13
4,4,享受生活，热爱运动,程序员一枚，喜欢做饭和摄影，认真对待感情。,public,0,2025-07-18 09:27:13,2025-07-18 09:27:13
5,5,慢热但真诚,猫派，咖啡控，喜欢书店和博物馆。,matchmaker_only,0,2025-07-07 09:27:13,2025-07-07 09:27:13
6,6,爱阅读、爱旅行,热爱运动与电影，期待遇见志同道合的你。,matched,0,2025-08-04 09:27:13,2025-08-04 09:27:13
7,7,爱阅读、爱旅行,热爱运动与电影，期待遇见志同道合的你。,public,0,2025-08-17 09:27:13,2025-08-17 09:27:13
8,8,认真找对象,猫派，咖啡控，喜欢书店和博物馆。,matchmaker_only,0,2025-08-06 09:27:13,2025-08-06 09:27:13
9,9,享受生活，热爱运动,外向开朗，周末citywalk，向往稳定的亲密关系。,public,0,2025-08-21 09:27:13,2025-08-21 09:27:13
10,10,有趣的灵魂在路上,热爱运动与电影，期待遇见志同道合的你。,matchmaker_only,0,2025-07-21 09:27:13,2025-07-21 09:27:13
11,11,有趣的灵魂在路上,热爱运动与电影，期待遇见志同道合的你。,matched,0,2025-06-28 09:27:13,2025-06-28 09:27:13
12,12,享受生活，热爱运动,猫派，咖啡控，喜欢书店和博物馆。,matched,0,2025-07-22 09:27:13,2025-07-22 09:27:13
13,13,爱阅读、爱旅行,热爱运动与电影，期待遇见志同道合的你。,public,0,2025-08-27 09:27:13,2025-08-27 09:27:13
14,14,享受生活，热爱运动,外向开朗，周末citywalk，向往稳定的亲密关系。,public,0,2025-06-16 09:27:13,2025-06-16 09:27:13
15,15,有趣的灵魂在路上,热爱运动与电影，期待遇见志同道合的你。,public,0,2025-07-06 09:27:13,2025-07-06 09:27:13
16,16,爱阅读、爱旅行,热爱运动与电影，期待遇见志同道合的你。,matchmaker_only,0,2025-09-13 09:27:13,2025-09-13 09:27:13
17,17,有趣的灵魂在路上,外向开朗，周末citywalk，向往稳定的亲密关系。,matchmaker_only,0,2025-07-15 09:27:13,2025-07-15 09:27:13
18,18,爱阅读、爱旅行,猫派，咖啡控，喜欢书店和博物馆。,public,0,2025-08-29 09:27:13,2025-08-29 09:27:13
19,19,有趣的灵魂在路上,外向开朗，周末citywalk，向往稳定的亲密关系。,matched,0,2025-06-17 09:27:13,2025-06-17 09:27:13
20,20,享受生活，热爱运动,热爱运动与电影，期待遇见志同道合的你。,public,0,2025-08-25 09:27:13,2025-08-25 09:27:13
21,21,认真找对象,热爱运动与电影，期待遇见志同道合的你。,matched,0,2025-08-06 09:27:13,2025-08-06 09:27:13
22,22,认真找对象,程序员一枚，喜欢做饭和摄影，认真对待感情。,public,0,2025-06-16 09:27:13,2025-06-16 09:27:13
23,23,慢热但真诚,程序员一枚，喜欢做饭和摄影，认真对待感情。,matchmaker_only,0,2025-08-15 09:27:13,2025-08-15 09:27:13
24,24,认真找对象,热爱运动与电影，期待遇见志同道合的你。,matchmaker_only,0,2025-07-27 09:27:13,2025-07-27 09:27:13
25,25,有趣的灵魂在路上,程序员一枚，喜欢做饭和摄影，认真对待感情。,public,0,2025-07-31 09:27:13,2025-07-31 09:27:13
26,26,慢热但真诚,猫派，咖啡控，喜欢书店和博物馆。,matchmaker_only,0,2025-07-03 09:27:13,2025-07-03 09:27:13
27,27,享受生活，热爱运动,猫派，咖啡控，喜欢书店和博物馆。,public,0,2025-08-12 09:27:13,2025-08-12 09:27:13
28,28,慢热但真诚,猫派，咖啡控，喜欢书店和博物馆。,public,0,2025-07-30 09:27:13,2025-07-30 09:27:13
29,29,慢热但真诚,热爱运动与电影，期待遇见志同道合的你。,matchmaker_only,0,2025-09-10 09:27:13,2025-09-10 09:27:13
