id,title,desc,img,time,destination
1,开通高级筛选,AI推荐算法升级，更精准更懂你,https://placehold.co/600x240?text=Ad+1,2025-10-13 10:08:04,/ad/call
2,开通高级筛选,看看今日谁与你最匹配,https://placehold.co/600x240?text=Ad+2,2025-10-16 10:08:04,/ad/boost
3,今日缘分榜TOP,开启同城缘分推送，遇见更近的人,https://placehold.co/600x240?text=Ad+3,2025-09-28 10:08:04,/ad/fun
4,情感测试限时开放,按学历、城市、是否离异筛选心仪对象,https://placehold.co/600x240?text=Ad+4,2025-09-08 10:08:04,/ad/ai
5,寻找同城缘分,一分钟测测你的恋爱类型,https://placehold.co/600x240?text=Ad+5,2025-09-24 10:08:04,/ad/call
6,今日缘分榜TOP,让AI带你找到志同道合的人,https://placehold.co/600x240?text=Ad+6,2025-10-04 10:08:04,/ad/ai
7,今日缘分榜TOP,按学历、城市、是否离异筛选心仪对象,https://placehold.co/600x240?text=Ad+7,2025-10-01 10:08:04,/ad/local
8,发布高质量照片赢曝光,一分钟测测你的恋爱类型,https://placehold.co/600x240?text=Ad+8,2025-09-23 10:08:04,/ad/local
9,发现有趣灵魂,开启同城缘分推送，遇见更近的人,https://placehold.co/600x240?text=Ad+9,2025-09-30 10:08:04,/ad/boost
10,发布高质量照片赢曝光,开启同城缘分推送，遇见更近的人,https://placehold.co/600x240?text=Ad+10,2025-10-21 10:08:04,/ad/ai
11,解锁更多推荐位,AI推荐算法升级，更精准更懂你,https://placehold.co/600x240?text=Ad+11,2025-10-02 10:08:04,/ad/ai
12,今日缘分榜TOP,让AI带你找到志同道合的人,https://placehold.co/600x240?text=Ad+12,2025-10-14 10:08:04,/ad/vip
13,解锁更多推荐位,开启同城缘分推送，遇见更近的人,https://placehold.co/600x240?text=Ad+13,2025-10-20 10:08:04,/ad/local
14,开通高级筛选,首月仅9.9元，解锁高级匹配功能,https://placehold.co/600x240?text=Ad+14,2025-09-05 10:08:04,/ad/call
15,开通高级筛选,AI推荐算法升级，更精准更懂你,https://placehold.co/600x240?text=Ad+15,2025-09-06 10:08:04,/ad/top
16,开通高级筛选,让AI带你找到志同道合的人,https://placehold.co/600x240?text=Ad+16,2025-09-30 10:08:04,/ad/photo
17,开通高级筛选,首月仅9.9元，解锁高级匹配功能,https://placehold.co/600x240?text=Ad+17,2025-10-18 10:08:04,/ad/top
18,寻找同城缘分,看看今日谁与你最匹配,https://placehold.co/600x240?text=Ad+18,2025-10-14 10:08:04,/ad/boost
19,开通高级筛选,按学历、城市、是否离异筛选心仪对象,https://placehold.co/600x240?text=Ad+19,2025-10-11 10:08:04,/ad/call
20,智能匹配升级,让AI带你找到志同道合的人,https://placehold.co/600x240?text=Ad+20,2025-09-11 10:08:04,/ad/top
21,智能匹配升级,开启同城缘分推送，遇见更近的人,https://placehold.co/600x240?text=Ad+21,2025-10-18 10:08:04,/ad/vip
22,心动来电,三张真实照片助你获得更多点赞,https://placehold.co/600x240?text=Ad+22,2025-10-30 10:08:04,/ad/call
23,情感测试限时开放,一分钟测测你的恋爱类型,https://placehold.co/600x240?text=Ad+23,2025-10-20 10:08:04,/ad/vip
24,发布高质量照片赢曝光,让AI带你找到志同道合的人,https://placehold.co/600x240?text=Ad+24,2025-10-23 10:08:04,/ad/vip
25,解锁更多推荐位,三张真实照片助你获得更多点赞,https://placehold.co/600x240?text=Ad+25,2025-10-12 10:08:04,/ad/call
26,解锁更多推荐位,开启同城缘分推送，遇见更近的人,https://placehold.co/600x240?text=Ad+26,2025-09-04 10:08:04,/ad/local
27,限时VIP优惠,AI推荐算法升级，更精准更懂你,https://placehold.co/600x240?text=Ad+27,2025-09-16 10:08:04,/ad/call
28,发布高质量照片赢曝光,开启同城缘分推送，遇见更近的人,https://placehold.co/600x240?text=Ad+28,2025-10-11 10:08:04,/ad/boost
29,开通高级筛选,按学历、城市、是否离异筛选心仪对象,https://placehold.co/600x240?text=Ad+29,2025-09-19 10:08:04,/ad/local
30,心动来电,上传清晰头像，即刻提升曝光,https://placehold.co/600x240?text=Ad+30,2025-10-31 10:08:04,/ad/top
31,今日缘分榜TOP,让AI带你找到志同道合的人,https://placehold.co/600x240?text=Ad+31,2025-10-11 10:08:04,/ad/top
32,发布高质量照片赢曝光,AI推荐算法升级，更精准更懂你,https://placehold.co/600x240?text=Ad+32,2025-10-07 10:08:04,/ad/ai
33,发现有趣灵魂,首月仅9.9元，解锁高级匹配功能,https://placehold.co/600x240?text=Ad+33,2025-09-17 10:08:04,/ad/fun
34,情感测试限时开放,参与心动来电活动，速配对象立刻见面,https://placehold.co/600x240?text=Ad+34,2025-10-04 10:08:04,/ad/filter
35,情感测试限时开放,按学历、城市、是否离异筛选心仪对象,https://placehold.co/600x240?text=Ad+35,2025-10-07 10:08:04,/ad/photo
36,智能匹配升级,参与心动来电活动，速配对象立刻见面,https://placehold.co/600x240?text=Ad+36,2025-10-01 10:08:04,/ad/ai
37,今日缘分榜TOP,看看今日谁与你最匹配,https://placehold.co/600x240?text=Ad+37,2025-10-03 10:08:04,/ad/call
38,寻找同城缘分,上传清晰头像，即刻提升曝光,https://placehold.co/600x240?text=Ad+38,2025-10-04 10:08:04,/ad/boost
39,限时VIP优惠,参与心动来电活动，速配对象立刻见面,https://placehold.co/600x240?text=Ad+39,2025-11-02 10:08:04,/ad/filter
40,今日缘分榜TOP,上传清晰头像，即刻提升曝光,https://placehold.co/600x240?text=Ad+40,2025-10-26 10:08:04,/ad/fun
41,情感测试限时开放,三张真实照片助你获得更多点赞,https://placehold.co/600x240?text=Ad+41,2025-10-10 10:08:04,/ad/photo
42,发布高质量照片赢曝光,按学历、城市、是否离异筛选心仪对象,https://placehold.co/600x240?text=Ad+42,2025-10-25 10:08:04,/ad/filter
43,寻找同城缘分,参与心动来电活动，速配对象立刻见面,https://placehold.co/600x240?text=Ad+43,2025-09-03 10:08:04,/ad/fun
44,发布高质量照片赢曝光,看看今日谁与你最匹配,https://placehold.co/600x240?text=Ad+44,2025-09-26 10:08:04,/ad/fun
45,寻找同城缘分,开启同城缘分推送，遇见更近的人,https://placehold.co/600x240?text=Ad+45,2025-09-11 10:08:04,/ad/boost
46,心动来电,参与心动来电活动，速配对象立刻见面,https://placehold.co/600x240?text=Ad+46,2025-09-30 10:08:04,/ad/ai
47,开通高级筛选,参与心动来电活动，速配对象立刻见面,https://placehold.co/600x240?text=Ad+47,2025-09-03 10:08:04,/ad/ai
48,开通高级筛选,让AI带你找到志同道合的人,https://placehold.co/600x240?text=Ad+48,2025-09-04 10:08:04,/ad/call
49,寻找同城缘分,看看今日谁与你最匹配,https://placehold.co/600x240?text=Ad+49,2025-09-16 10:08:04,/ad/local
50,限时VIP优惠,参与心动来电活动，速配对象立刻见面,https://placehold.co/600x240?text=Ad+50,2025-09-13 10:08:04,/ad/ai
51,发现有趣灵魂,看看今日谁与你最匹配,https://placehold.co/600x240?text=Ad+51,2025-11-01 10:08:04,/ad/local
52,情感测试限时开放,AI推荐算法升级，更精准更懂你,https://placehold.co/600x240?text=Ad+52,2025-10-07 10:08:04,/ad/local
53,发布高质量照片赢曝光,让AI带你找到志同道合的人,https://placehold.co/600x240?text=Ad+53,2025-10-02 10:08:04,/ad/ai
54,寻找同城缘分,一分钟测测你的恋爱类型,https://placehold.co/600x240?text=Ad+54,2025-10-31 10:08:04,/ad/ai
55,限时VIP优惠,参与心动来电活动，速配对象立刻见面,https://placehold.co/600x240?text=Ad+55,2025-09-25 10:08:04,/ad/filter
56,解锁更多推荐位,首月仅9.9元，解锁高级匹配功能,https://placehold.co/600x240?text=Ad+56,2025-09-26 10:08:04,/ad/top
57,开通高级筛选,首月仅9.9元，解锁高级匹配功能,https://placehold.co/600x240?text=Ad+57,2025-10-09 10:08:04,/ad/test
58,情感测试限时开放,让AI带你找到志同道合的人,https://placehold.co/600x240?text=Ad+58,2025-10-11 10:08:04,/ad/call
59,情感测试限时开放,AI推荐算法升级，更精准更懂你,https://placehold.co/600x240?text=Ad+59,2025-10-22 10:08:04,/ad/photo
60,今日缘分榜TOP,开启同城缘分推送，遇见更近的人,https://placehold.co/600x240?text=Ad+60,2025-10-22 10:08:04,/ad/local
61,心动来电,AI推荐算法升级，更精准更懂你,https://placehold.co/600x240?text=Ad+61,2025-10-25 10:08:04,/ad/test
62,心动来电,按学历、城市、是否离异筛选心仪对象,https://placehold.co/600x240?text=Ad+62,2025-10-16 10:08:04,/ad/photo
63,智能匹配升级,首月仅9.9元，解锁高级匹配功能,https://placehold.co/600x240?text=Ad+63,2025-10-25 10:08:04,/ad/ai
64,限时VIP优惠,开启同城缘分推送，遇见更近的人,https://placehold.co/600x240?text=Ad+64,2025-10-17 10:08:04,/ad/photo
65,智能匹配升级,三张真实照片助你获得更多点赞,https://placehold.co/600x240?text=Ad+65,2025-10-13 10:08:04,/ad/boost
66,解锁更多推荐位,看看今日谁与你最匹配,https://placehold.co/600x240?text=Ad+66,2025-10-23 10:08:04,/ad/test
67,今日缘分榜TOP,开启同城缘分推送，遇见更近的人,https://placehold.co/600x240?text=Ad+67,2025-10-09 10:08:04,/ad/ai
68,寻找同城缘分,按学历、城市、是否离异筛选心仪对象,https://placehold.co/600x240?text=Ad+68,2025-09-19 10:08:04,/ad/vip
69,寻找同城缘分,按学历、城市、是否离异筛选心仪对象,https://placehold.co/600x240?text=Ad+69,2025-10-21 10:08:04,/ad/top
70,发布高质量照片赢曝光,三张真实照片助你获得更多点赞,https://placehold.co/600x240?text=Ad+70,2025-09-26 10:08:04,/ad/call
71,今日缘分榜TOP,一分钟测测你的恋爱类型,https://placehold.co/600x240?text=Ad+71,2025-10-16 10:08:04,/ad/test
72,心动来电,开启同城缘分推送，遇见更近的人,https://placehold.co/600x240?text=Ad+72,2025-10-19 10:08:04,/ad/ai
73,发现有趣灵魂,让AI带你找到志同道合的人,https://placehold.co/600x240?text=Ad+73,2025-10-03 10:08:04,/ad/top
74,发现有趣灵魂,AI推荐算法升级，更精准更懂你,https://placehold.co/600x240?text=Ad+74,2025-10-14 10:08:04,/ad/ai
75,开通高级筛选,上传清晰头像，即刻提升曝光,https://placehold.co/600x240?text=Ad+75,2025-10-06 10:08:04,/ad/fun
76,解锁更多推荐位,开启同城缘分推送，遇见更近的人,https://placehold.co/600x240?text=Ad+76,2025-09-11 10:08:04,/ad/filter
77,情感测试限时开放,让AI带你找到志同道合的人,https://placehold.co/600x240?text=Ad+77,2025-09-22 10:08:04,/ad/ai
78,今日缘分榜TOP,按学历、城市、是否离异筛选心仪对象,https://placehold.co/600x240?text=Ad+78,2025-09-29 10:08:04,/ad/local
79,开通高级筛选,让AI带你找到志同道合的人,https://placehold.co/600x240?text=Ad+79,2025-09-24 10:08:04,/ad/boost
80,发布高质量照片赢曝光,一分钟测测你的恋爱类型,https://placehold.co/600x240?text=Ad+80,2025-10-23 10:08:04,/ad/fun
81,寻找同城缘分,首月仅9.9元，解锁高级匹配功能,https://placehold.co/600x240?text=Ad+81,2025-09-15 10:08:04,/ad/filter
82,发布高质量照片赢曝光,AI推荐算法升级，更精准更懂你,https://placehold.co/600x240?text=Ad+82,2025-09-15 10:08:04,/ad/filter
83,心动来电,上传清晰头像，即刻提升曝光,https://placehold.co/600x240?text=Ad+83,2025-10-03 10:08:04,/ad/boost
84,智能匹配升级,AI推荐算法升级，更精准更懂你,https://placehold.co/600x240?text=Ad+84,2025-09-16 10:08:04,/ad/call
85,解锁更多推荐位,开启同城缘分推送，遇见更近的人,https://placehold.co/600x240?text=Ad+85,2025-10-24 10:08:04,/ad/photo
86,情感测试限时开放,三张真实照片助你获得更多点赞,https://placehold.co/600x240?text=Ad+86,2025-10-13 10:08:04,/ad/local
87,发现有趣灵魂,一分钟测测你的恋爱类型,https://placehold.co/600x240?text=Ad+87,2025-11-01 10:08:04,/ad/photo
88,解锁更多推荐位,看看今日谁与你最匹配,https://placehold.co/600x240?text=Ad+88,2025-10-12 10:08:04,/ad/boost
89,发布高质量照片赢曝光,让AI带你找到志同道合的人,https://placehold.co/600x240?text=Ad+89,2025-09-12 10:08:04,/ad/test
90,开通高级筛选,让AI带你找到志同道合的人,https://placehold.co/600x240?text=Ad+90,2025-10-04 10:08:04,/ad/call
91,智能匹配升级,上传清晰头像，即刻提升曝光,https://placehold.co/600x240?text=Ad+91,2025-09-16 10:08:04,/ad/vip
92,限时VIP优惠,首月仅9.9元，解锁高级匹配功能,https://placehold.co/600x240?text=Ad+92,2025-09-16 10:08:04,/ad/ai
93,发布高质量照片赢曝光,一分钟测测你的恋爱类型,https://placehold.co/600x240?text=Ad+93,2025-10-16 10:08:04,/ad/call
94,心动来电,一分钟测测你的恋爱类型,https://placehold.co/600x240?text=Ad+94,2025-09-04 10:08:04,/ad/test
95,限时VIP优惠,首月仅9.9元，解锁高级匹配功能,https://placehold.co/600x240?text=Ad+95,2025-09-24 10:08:04,/ad/filter
96,今日缘分榜TOP,看看今日谁与你最匹配,https://placehold.co/600x240?text=Ad+96,2025-09-26 10:08:04,/ad/vip
97,今日缘分榜TOP,开启同城缘分推送，遇见更近的人,https://placehold.co/600x240?text=Ad+97,2025-10-11 10:08:04,/ad/vip
98,寻找同城缘分,AI推荐算法升级，更精准更懂你,https://placehold.co/600x240?text=Ad+98,2025-10-11 10:08:04,/ad/filter
99,寻找同城缘分,开启同城缘分推送，遇见更近的人,https://placehold.co/600x240?text=Ad+99,2025-09-17 10:08:04,/ad/filter
100,心动来电,按学历、城市、是否离异筛选心仪对象,https://placehold.co/600x240?text=Ad+100,2025-10-10 10:08:04,/ad/fun
